Language,Text,Cleaned_Text
Sheng,Karao wame-kam kwa matha.,karao wamekam kwa matha
Swahili,Motisha kwa teknolojia ya udhibiti wa emission ya kabonia,motisha kwa teknolojia ya udhibiti wa emission ya kabonia
Kikuyu,City ya Meihekou irĩ igũrũ mũno ta 180 m.,city ya meihekou irĩ igũrũ mũno ta 180 m
Swahili,Ofisi ya kaunti ya passaic na wafuasi wake ona tofauti .,ofisi ya kaunti ya passaic na wafuasi wake ona tofauti
Kikuyu,njiarano nĩ mũtaratara ũrĩa kĩũmbe gĩkengũraga kĩũmbe kĩngĩ ta kĩo.,njiarano nĩ mũtaratara ũrĩa kĩũmbe gĩkengũraga kĩũmbe kĩngĩ ta kĩo
Kikuyu,Physics itagwo na gikuyu fithĩki.,physics itagwo na gikuyu fithĩki
English,"This is a terrific product, best stain remover I've ever used, even removes blood stains. But don't buy from Amazon. They threw this into a box with four other products and no packaging around the items. Nearly all the stain remover leaked out from all three bottles. The other items were covered with the thick stain remover liquid and the bottom of the box was saturated with it. A big mess to clean up. Amazon made it right and shipped a replacement but I won't order again.",this is a terrific product best stain remover ive ever used even removes blood stains but dont buy from amazon they threw this into a box with four other products and no packaging around the items nearly all the stain remover leaked out from all three bottles the other items were covered with the thick stain remover liquid and the bottom of the box was saturated with it a big mess to clean up amazon made it right and shipped a replacement but i wont order again
Sheng,Msee ame-hepa area.,msee amehepa area
Swahili,Sawa kabisa .,sawa kabisa
Kikuyu,Tekinoronjĩ kana ciaga cia nyamũ cioyaga sigino kuma kwi macingiriria na gucitumira njikithithira(Effectors).,tekinoronjĩ kana ciaga cia nyamũ cioyaga sigino kuma kwi macingiriria na gucitumira njikithithiraeffectors
Swahili,Lakini sisi fursa yoyote ya kufanya uamuzi kama kwa sisi tu iwapo si chama kilikuwa na hatia .,lakini sisi fursa yoyote ya kufanya uamuzi kama kwa sisi tu iwapo si chama kilikuwa na hatia
Kikuyu,[1]Nĩ kũrĩ na mĩthemba 100 ya koikoi ĩrĩa ĩgomagĩragaandũ.,1nĩ kũrĩ na mĩthemba 100 ya koikoi ĩrĩa ĩgomagĩragaandũ
Kikuyu,"Indo cia ndũyũ, ngari, mĩkawa, honge ciaNdamathia, na nyũmba cia ndini nĩ imwe cigomagĩragwo hĩndĩ ya nditimũrano.",indo cia ndũyũ ngari mĩkawa honge ciandamathia na nyũmba cia ndini nĩ imwe cigomagĩragwo hĩndĩ ya nditimũrano
English,I replaced my Phillips hue lights with these because I couldn’t get them to work outside and I must say these lights are fantastic they work just like wonderful from sunrise to sunset.,i replaced my phillips hue lights with these because i couldnt get them to work outside and i must say these lights are fantastic they work just like wonderful from sunrise to sunset
Swahili,Deri ' s ilikuwa karibu dakika kumi tembea kutoka kwa mlango wangu wa mbele .,deri s ilikuwa karibu dakika kumi tembea kutoka kwa mlango wangu wa mbele
Swahili,"Baada ya maafa hayo , mycenean greeks kutoka kwenye peloponnese ulihama ili kudhibiti kile kilichobaki katika makazi ya minoan wanaweza hata kuwa na uharibifu wa uharibifu .",baada ya maafa hayo mycenean greeks kutoka kwenye peloponnese ulihama ili kudhibiti kile kilichobaki katika makazi ya minoan wanaweza hata kuwa na uharibifu wa uharibifu
Swahili,Kuna punje chache za ukweli katika hadithi hii .,kuna punje chache za ukweli katika hadithi hii
Swahili,Anakumbuka kuwa katika safari moja ya poland yeye marafiki wa ndani ya ajenda ya hawaoni kwa kusisitiza amri kumi .,anakumbuka kuwa katika safari moja ya poland yeye marafiki wa ndani ya ajenda ya hawaoni kwa kusisitiza amri kumi
Sheng,Ma-dem ame-hepa mashinani.,madem amehepa mashinani
Sheng,Buda ame-doz kwa matha.,buda amedoz kwa matha
English,The boxes are great but came missing one lid!,the boxes are great but came missing one lid
Sheng,Ma-dem ana-dai area.,madem anadai area
Sheng,Buda ana-dai base.,buda anadai base
Kikuyu,No mahũthĩre mĩkebe ya ndogo ya maithori kũcerehũra kĩrĩndĩ.,no mahũthĩre mĩkebe ya ndogo ya maithori kũcerehũra kĩrĩndĩ
Sheng,Donda ina-bamba mtaa.,donda inabamba mtaa
Swahili,Sasa hivi sisi glass kwa miaka maana miaka kwa sababu tuna kiwanda cha vioo katika jamii yetu,sasa hivi sisi glass kwa miaka maana miaka kwa sababu tuna kiwanda cha vioo katika jamii yetu
Kikuyu,"Na gĩkűyű no ĩtwo űthuthuria wa gűtűmira űhoti, iremethia, mieke na iguoyohia.",na gĩkűyű no ĩtwo űthuthuria wa gűtűmira űhoti iremethia mieke na iguoyohia
Swahili,Hilo ni ubepari wa soko kwani .,hilo ni ubepari wa soko kwani
Swahili,"Aurangzeb inataka utawala wa ulegevu wa watu wake wa zamani , lakini karibu bankrupted ufalme na kampeni zake ili kupanua himaya chini ya kusini , na vita vyake dhidi ya waasi kaskazini .",aurangzeb inataka utawala wa ulegevu wa watu wake wa zamani lakini karibu bankrupted ufalme na kampeni zake ili kupanua himaya chini ya kusini na vita vyake dhidi ya waasi kaskazini
English,I usually take an extra large. These leggings fit but they are really tight around the waist. I never had a problem with any of the other brands--won't be ordering from Lush Moda again,i usually take an extra large these leggings fit but they are really tight around the waist i never had a problem with any of the other brandswont be ordering from lush moda again
Swahili,"Uwezekano mmoja ni kwamba matangazo haya will kwenye fomu mpya ya micro , lakini mchakato will bila suala wapi .",uwezekano mmoja ni kwamba matangazo haya will kwenye fomu mpya ya micro lakini mchakato will bila suala wapi
Swahili,"Nguo zake , ndevu zake , miwani gani macho yake hizo ni alama za salient kuhusu muonekano wake binafsi .",nguo zake ndevu zake miwani gani macho yake hizo ni alama za salient kuhusu muonekano wake binafsi
English,Way to difficult to get over my head I misunderstood the front closures purpose. I ordered 2x way too small very disappointed oh well I learned something.,way to difficult to get over my head i misunderstood the front closures purpose i ordered 2x way too small very disappointed oh well i learned something
Swahili,"Nyota inayoibuka , hakuna maudhui tena kwa kucheza nightclubs ndogo , alikuja las vegas kwa ndoto za kufanya ni kubwa .",nyota inayoibuka hakuna maudhui tena kwa kucheza nightclubs ndogo alikuja las vegas kwa ndoto za kufanya ni kubwa
