Text,Language
Ponte dell'Oliocity irĩa nene yaItaly.,Kikuyu
Mũndũ o wothe nĩ akenagio nĩ mwana wĩna mĩtugo mĩega.,Kikuyu
[1]na imwe nĩ ciĩheaga irio cia kũhaarĩria ikũyũ.,Kikuyu
Andu aya ni David wineland na Serge Haroche .,Kikuyu
"Imwe ciambicaanathaka nĩ hamwe na '我是誰'(Niĩ ndĩ ũ), '奇謀妙計五福星' 'Winners and Sinners' (Ahotani na marĩ Mehia) na  '飛龍猛將' (Ndamathia Mĩndĩ na Mĩndĩ)",Kikuyu
Cĩtĩ ikoragũo imanja cia iwanda cia tekinoronjĩ cia ũhoro.,Kikuyu
City ya Margilan irĩ igũrũ mũno ta 495 m.,Kikuyu
Dashiqiaocity irĩa nene yaChina.,Kikuyu
City ya Poznań irĩ igũrũ mũno ta 50-154 m.,Kikuyu
Mũciĩ mũnene wa Lado warĩ gĩcogi ya Lado.,Kikuyu
City ya Chirchiq irĩ igũrũ mũno ta 582 m.,Kikuyu
Cirũ wa gp(shiru wa gp) nĩ mũinĩ wĩna ngumo mũno waNyĩmbo cia kĩgooco.,Kikuyu
Kamagĩra cikoragwo macũainĩ mĩromo-inĩ ya mariia.,Kikuyu
Thoronjo nĩ nyeki ĩkũragio nĩũndũ wa gĩkono ciayo ingĩrĩĩka.,Kikuyu
"Hithitori ,https://web.archive.org/web/20111203212203/http://openfutures.jdlinsweden.se/page110.php, 2013.",Kikuyu
Ciandarũa ikoragwo na mĩthaiga ya mĩthemba ngũrani ĩhũthĩkaga kũthaga ũthiũ wayo.,Kikuyu
Kũbogotha nĩ ũrirũ ũhanĩkaga mũndũ e toro ũrĩa ũtũmaga mũndũ akorwo akĩaria na mũgambo mũnene rĩrĩa akomete.,Kikuyu
ĩũũĩtarĩĩũũ ngumo ya gũcoka na gũkua na gũkua.,Kikuyu
ũcuumi wa Brazil nĩgwo mũnene mũno thĩinĩ wa mabururi ma Amerika ya kuthini.,Kikuyu
Chiroqchicity irĩa nene yaUzbekistan.,Kikuyu
To‘rtko‘lcity irĩa nene yaUzbekistan.,Kikuyu
"Thayathi ya ndűire ĩrĩa ĩĩ mathomo na űtuĩria wa űthi, űthimakű, thitima, mekaniki na maűdű magĩ maigĩ.",Kikuyu
>>arũme aingĩ a bũrũri wa kĩgiriki marĩ na nderu ndaihu,Kikuyu
Nĩ ũri ũtonga mũingi wa madini ta wa maguta ma betro.,Kikuyu
Ona thutha wa mibango ino kuragwanwo nayo ni ene TV thirikari niyathire na mbere kuhinga miambo ya analogue.,Kikuyu
"nĩ gĩtembanio kĩa ciũgo igĩrĩ (""british exit"").",Kikuyu
Ĩmwe ya nyĩmbo ciake nĩkoragwo ũugũrĩrĩio-inĩ wa thinema ya 2004 ĩtagwo 'HotelRwanda'.,Kikuyu
Maũndũ maya mothe mathomithanagio kũhĩtũkĩra ng’ano na kĩrĩra kĩa rũrĩrĩ.,Kikuyu
City ya Danyang irĩ igũrũ mũno ta 150 m.,Kikuyu
mũhari nĩKĩrema (object)kĩaMũthunũrũrio (geometry)kĩrĩa kĩrĩ kĩũga kĩa rũriika rũmwe (one dimensional).,Kikuyu
Hithitori ya tekinoronjĩ cia ngari ni:,Kikuyu
City ya Andijan irĩ igũrũ mũno ta 450 m.,Kikuyu
"Nyabara Peter Bafemi Anala**, Karaũ Mũmbũkia Officer Manaen Twum Ampadu**, Karaũ Ernest Addo Mensah** – Aruti wĩra a mbirarũ ya rĩera a Ghana.",Kikuyu
"Nĩ ta mũcere, ngano,Mũbebe,Mboco,Thoroko.",Kikuyu
Dongpingcounty irĩa nene yaChina.,Kikuyu
Ciana nĩ icanjamũkaga nĩ ng’ano icio na ikaigwa irĩ njega mũno.,Kikuyu
"Nditimũrano kana ngũĩ ya mũngĩkĩ nĩ mũthemba wa  gahĩha ya ngumbacũ ĩcũngarĩrĩria kagĩĩri kũũkĩrĩra na kũhũnga ũgwati ũtongoria wao, andũ na ndũnyũ.",Kikuyu
Mwana wĩna mĩtugo mĩega nĩ ũhũthũ kũmũtaara na kũmũcokia njĩra ĩrĩa yagĩrĩire ũkĩringithania na mwana wĩna mĩtugo mĩũru.,Kikuyu
Mundu ungikorwo na undu wa kwongerera haha ndakaigwe e muhingiririe.,Kikuyu
City ya San Salvador irĩ igũrũ mũno ta 658 m.,Kikuyu
Amerika ya thondekirwe mwaka 1776 ni makoloni 13 ma Uingeretha,Kikuyu
