Text,Language
Mbogi ame-hepa mtaa.,Sheng
Huyu boy ina-bamba downtown.,Sheng
Msee ame-omoka downtown.,Sheng
Ma-dem ame-omoka job.,Sheng
Arif ina-lapa mtaa.,Sheng
Ma-dem ana-dai mashinani.,Sheng
Arif ame-hepa area.,Sheng
Manzi ana-zusha downtown.,Sheng
Ma-dem tuna-chill mashinani.,Sheng
Buda ina-lapa kwa matha.,Sheng
Karao tuna-chill base.,Sheng
Rasta tuna-chill chuom.,Sheng
Huyu boy ame-hepa kwa keja.,Sheng
Buda wame-kam kwa keja.,Sheng
Karao ina-lapa chuom.,Sheng
Rasta ame-hepa area.,Sheng
Rasta tuna-chill base.,Sheng
Buda ame-hepa downtown.,Sheng
Donda ame-hepa area.,Sheng
Mbogi ana-dai job.,Sheng
Mbogi ana-zusha base.,Sheng
Manzi tuna-chill tao.,Sheng
Buda ana-dai tao.,Sheng
Donda ime-weza base.,Sheng
Manzi ana-zusha kwa keja.,Sheng
Karao tuna-chill area.,Sheng
Msee tuna-chill area.,Sheng
Huyu boy ina-bamba kwa keja.,Sheng
Msee tuna-chill tao.,Sheng
Buda ime-weza chuom.,Sheng
Msee ime-weza tao.,Sheng
Donda wame-kam area.,Sheng
Donda ime-weza mashinani.,Sheng
Buda ina-bamba tao.,Sheng
Huyu boy ime-weza mashinani.,Sheng
Arif ame-hepa chuom.,Sheng
Ma-dem ame-doz mashinani.,Sheng
Huyu boy tuna-chill tao.,Sheng
Rasta ina-bamba area.,Sheng
Buda ana-dai kwa keja.,Sheng
Donda ana-zusha mtaa.,Sheng
Karao ana-zusha job.,Sheng
Arif tuna-chill mashinani.,Sheng
Buda wame-kam chuom.,Sheng
Donda ame-omoka base.,Sheng
Manzi ame-omoka kwa matha.,Sheng
Manzi ime-weza base.,Sheng
Manzi ame-doz base.,Sheng
Ma-dem ame-hepa downtown.,Sheng
Msee tuna-chill base.,Sheng
Arif tuna-chill kwa matha.,Sheng
Huyu boy ame-doz job.,Sheng
Huyu boy ame-omoka kwa matha.,Sheng
Huyu boy ina-bamba tao.,Sheng
Manzi ame-hepa kwa keja.,Sheng
Donda wame-kam kwa keja.,Sheng
Donda wame-kam tao.,Sheng
Karao ana-zusha kwa matha.,Sheng
Donda ame-omoka kwa matha.,Sheng
Buda ana-zusha kwa matha.,Sheng
Msee ame-hepa chuom.,Sheng
Ma-dem ame-omoka downtown.,Sheng
Rasta ame-doz area.,Sheng
Huyu boy ame-hepa mashinani.,Sheng
Msee ime-weza area.,Sheng
Manzi tuna-chill mtaa.,Sheng
Mbogi ame-doz kwa matha.,Sheng
Manzi ina-bamba kwa matha.,Sheng
Buda ame-hepa tao.,Sheng
Buda wame-kam tao.,Sheng
Karao ime-weza mtaa.,Sheng
Msee ime-weza base.,Sheng
Rasta ana-dai chuom.,Sheng
Ma-dem ime-weza base.,Sheng
Rasta tuna-chill kwa keja.,Sheng
Mbogi ime-weza area.,Sheng
Ma-dem wame-kam area.,Sheng
Rasta ana-zusha base.,Sheng
Msee ana-dai area.,Sheng
Donda ina-bamba downtown.,Sheng
Karao ana-dai chuom.,Sheng
Manzi ame-doz kwa keja.,Sheng
Buda ana-zusha mashinani.,Sheng
Huyu boy ana-dai tao.,Sheng
Ma-dem wame-kam base.,Sheng
Karao ame-doz tao.,Sheng
Msee tuna-chill job.,Sheng
Karao ana-zusha area.,Sheng
Arif ame-hepa kwa matha.,Sheng
Buda ana-dai area.,Sheng
Arif wame-kam base.,Sheng
Huyu boy ame-omoka base.,Sheng
Ma-dem ana-dai base.,Sheng
Huyu boy ame-omoka area.,Sheng
Ma-dem wame-kam chuom.,Sheng
Buda ame-doz job.,Sheng
Arif ime-weza kwa keja.,Sheng
Huyu boy ana-zusha mashinani.,Sheng
Manzi wame-kam mtaa.,Sheng
Msee wame-kam tao.,Sheng
Msee wame-kam kwa matha.,Sheng
Huyu boy ame-hepa base.,Sheng
Karao ime-weza downtown.,Sheng
Mbogi ina-lapa mtaa.,Sheng
Rasta ina-lapa kwa keja.,Sheng
Karao ame-doz mashinani.,Sheng
Buda ame-hepa area.,Sheng
Arif ana-dai base.,Sheng
Karao ina-bamba kwa matha.,Sheng
Mbogi ana-dai kwa matha.,Sheng
Mbogi ina-lapa kwa matha.,Sheng
Huyu boy ame-doz kwa keja.,Sheng
Rasta ame-doz job.,Sheng
Ma-dem ina-bamba mtaa.,Sheng
Huyu boy ime-weza mtaa.,Sheng
Ma-dem ime-weza mashinani.,Sheng
Huyu boy wame-kam base.,Sheng
Buda ana-zusha area.,Sheng
Buda ina-bamba kwa matha.,Sheng
Manzi ame-hepa chuom.,Sheng
Arif ana-zusha kwa matha.,Sheng
Huyu boy ana-dai mashinani.,Sheng
Msee ame-doz area.,Sheng
Donda ame-doz downtown.,Sheng
Arif ame-doz mtaa.,Sheng
Manzi ana-zusha tao.,Sheng
Karao tuna-chill mashinani.,Sheng
Mbogi wame-kam kwa keja.,Sheng
Buda wame-kam mashinani.,Sheng
Buda ina-bamba chuom.,Sheng
Donda ana-zusha base.,Sheng
Donda ame-hepa kwa matha.,Sheng
Mbogi ame-omoka mtaa.,Sheng
Arif ana-zusha area.,Sheng
Mbogi ina-bamba chuom.,Sheng
Manzi ame-omoka mtaa.,Sheng
Huyu boy ame-doz kwa matha.,Sheng
Msee ina-bamba area.,Sheng
Buda tuna-chill tao.,Sheng
Donda tuna-chill job.,Sheng
Karao ana-zusha chuom.,Sheng
Mbogi tuna-chill mashinani.,Sheng
Donda ame-omoka chuom.,Sheng
Karao ame-omoka kwa matha.,Sheng
Karao tuna-chill downtown.,Sheng
Mbogi ina-bamba area.,Sheng
Ma-dem ame-hepa mashinani.,Sheng
Buda ina-lapa chuom.,Sheng
Buda wame-kam base.,Sheng
Karao ime-weza kwa keja.,Sheng
Msee ime-weza chuom.,Sheng
Manzi ina-bamba chuom.,Sheng
Mbogi ina-bamba kwa keja.,Sheng
Rasta ime-weza downtown.,Sheng
Rasta tuna-chill mashinani.,Sheng
Arif ame-doz base.,Sheng
Buda ana-zusha tao.,Sheng
Karao wame-kam kwa keja.,Sheng
Mbogi ina-bamba base.,Sheng
Ma-dem ame-doz tao.,Sheng
Rasta ime-weza chuom.,Sheng
Manzi wame-kam chuom.,Sheng
Rasta ina-lapa area.,Sheng
Huyu boy ana-zusha area.,Sheng
Ma-dem ana-dai area.,Sheng
Rasta ame-doz tao.,Sheng
Huyu boy ana-dai area.,Sheng
Rasta ime-weza mtaa.,Sheng
Donda ame-doz job.,Sheng
Arif ina-lapa mashinani.,Sheng
Mbogi ina-lapa mashinani.,Sheng
Donda wame-kam downtown.,Sheng
Karao ina-lapa tao.,Sheng
Buda ame-doz tao.,Sheng
Karao ame-omoka base.,Sheng
Donda ame-doz base.,Sheng
Buda ina-lapa base.,Sheng
Rasta ame-doz chuom.,Sheng
Rasta ana-dai area.,Sheng
Rasta ana-zusha mtaa.,Sheng
Buda ame-hepa kwa keja.,Sheng
Donda ame-doz chuom.,Sheng
Arif ame-hepa job.,Sheng
Ma-dem ame-hepa tao.,Sheng
Msee ana-dai base.,Sheng
Manzi ana-zusha area.,Sheng
Karao ana-zusha mashinani.,Sheng
Rasta ina-bamba job.,Sheng
Msee ana-zusha downtown.,Sheng
Karao ame-omoka chuom.,Sheng
Arif ame-omoka mtaa.,Sheng
Ma-dem ina-bamba area.,Sheng
Ma-dem ana-dai kwa keja.,Sheng
Karao ame-doz kwa keja.,Sheng
Donda ime-weza kwa matha.,Sheng
Buda ina-lapa downtown.,Sheng
Manzi ime-weza downtown.,Sheng
Msee ame-omoka tao.,Sheng
Rasta ame-omoka job.,Sheng
